run_id,filename,number_of_data,model,prompt_type,number_of_shots,temperature,max_new_tokens,batch_size,pad_token,pad_token_id,eos_token_id,seed,device,exact_match_accuracy,exact_match_f1,exact_match_loss,exact_match_gain,bert_score_accuracy,bert_score_f1,bert_score_loss,bert_score_gain,edit_distance,single_bert_score
20230524_123411,tracking_shuffled_objects/task.json,745,gpt2,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.332885906,0.3178841602,-100,-100,-100,-100,-100,-100,28.82147651,-100
20230524_123425,tracking_shuffled_objects/task.json,745,gpt2,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3369127517,0.3203577737,-100,-100,-100,-100,-100,-100,28.81744966,-100
20230524_123440,tracking_shuffled_objects/task.json,745,gpt2,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0,0,-100,-100,0.332885906,0.2468217306,-100,-100,35.86577181,0.8306497931
20230524_123446,tracking_shuffled_objects/task.json,745,gpt2,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0,0,-100,-100,0.3275167785,0.2452536879,-100,-100,35.87785235,0.8304717541
20230524_123452,tracking_shuffled_objects/task.json,745,gpt2,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0,0,-100,-100,0.3288590604,0.2428729456,-100,-100,35.87516779,0.8304253221
20230524_123458,tracking_shuffled_objects/task.json,745,gpt2,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.1570469799,0.1329860934,-100,-100,0.3234899329,0.2747831975,-100,-100,29.11006711,0.8558018804
20230524_123510,tracking_shuffled_objects/task.json,745,gpt2,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.1597315436,0.1349163925,-100,-100,0.3248322148,0.2756894437,-100,-100,29.10469799,0.8558954
20230524_123523,tracking_shuffled_objects/task.json,745,gpt2,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.1597315436,0.135185948,-100,-100,0.3275167785,0.2790311965,-100,-100,29.11006711,0.8560213447
20230524_124953,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.1503355705,0.1275054053,42,31,0.3302013423,0.2696289432,74,75,48.81610738,0.8234452605
20230524_125001,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.1503355705,0.1277136651,43,29,0.3342281879,0.2754775266,72,72,49.01208054,0.8232120275
20230524_125010,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.1463087248,0.1224518062,48,28,0.3288590604,0.2688225193,79,71,49.04295302,0.8233089447
20230524_125019,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3100671141,0.2549606364,57,56,0.3288590604,0.274979865,65,63,56.23221477,0.8157889247
20230524_125119,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.311409396,0.2553671688,54,54,0.3302013423,0.2753584946,61,61,54.36241611,0.8167888522
20230524_125218,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.311409396,0.2550655177,56,55,0.3302013423,0.2749839774,64,63,53.82818792,0.8174105287
20230524_125317,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.006711409396,0.009842519685,3,3,-100,-100,-100,-100,26.44161074,-100
20230524_125330,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.006711409396,0.009842519685,2,3,-100,-100,-100,-100,26.44161074,-100
20230524_125342,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.006711409396,0.009842519685,4,3,-100,-100,-100,-100,26.42147651,-100
20230524_125355,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3302013423,0.2614052855,63,64,-100,-100,-100,-100,41.60402685,-100
20230524_125457,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.3302013423,0.2614052855,62,60,-100,-100,-100,-100,39.31677852,-100
20230524_125557,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3288590604,0.2608770941,62,56,-100,-100,-100,-100,35.33959732,-100
20230524_125656,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0,0,0,0,0.3436241611,0.2760228831,83,91,43.4442953,0.8065167665
20230524_125703,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0,0,0,0,0.3436241611,0.2770949675,79,91,43.64161074,0.8062933683
20230524_125710,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0,0,0,0,0.3395973154,0.2739367203,84,92,43.51275168,0.8063640594
20230524_125717,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.1704697987,0.1319554769,39,49,0.332885906,0.2743225616,74,81,61.33422819,0.8091922402
20230524_125817,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.1718120805,0.132859466,39,48,0.3342281879,0.2739286619,74,81,59.63489933,0.8098224998
20230524_125916,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-alpaca,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.1691275168,0.1293504242,41,48,0.3315436242,0.2705982524,76,79,59.43355705,0.8100345135
20230524_131237,tracking_shuffled_objects/task.json,745,gpt2-xl,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.2174496644,0.1834813392,75,114,0.3355704698,0.2773015417,120,125,34.6885906,0.8653803468
20230524_131301,tracking_shuffled_objects/task.json,745,gpt2-xl,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.2174496644,0.181626378,79,115,0.3382550336,0.2793927908,123,126,34.69530201,0.8653234839
20230524_131325,tracking_shuffled_objects/task.json,745,gpt2-xl,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.2174496644,0.1834946139,80,113,0.3382550336,0.2787537383,128,127,34.66174497,0.8653228283
20230524_131349,tracking_shuffled_objects/task.json,745,gpt2-xl,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3194630872,0.2636093492,162,168,0.322147651,0.2663917225,165,158,30.97315436,0.8667683601
20230524_131505,tracking_shuffled_objects/task.json,745,gpt2-xl,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.3234899329,0.2678174104,160,169,0.3261744966,0.2706893168,162,159,30.9033557,0.8670015931
20230524_131621,tracking_shuffled_objects/task.json,745,gpt2-xl,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.322147651,0.2660510171,161,168,0.3248322148,0.2696119456,163,158,30.95033557,0.8667672873
20230524_131737,tracking_shuffled_objects/task.json,745,gpt2-xl,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3087248322,0.2400835073,2,227,-100,-100,-100,-100,28.08322148,-100
20230524_131801,tracking_shuffled_objects/task.json,745,gpt2-xl,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.3073825503,0.239539749,2,227,-100,-100,-100,-100,28.04563758,-100
20230524_131825,tracking_shuffled_objects/task.json,745,gpt2-xl,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3087248322,0.2400835073,2,226,-100,-100,-100,-100,28.06845638,-100
20230524_131850,tracking_shuffled_objects/task.json,745,gpt2-xl,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3342281879,0.25,191,195,-100,-100,-100,-100,28.82013423,-100
20230524_132010,tracking_shuffled_objects/task.json,745,gpt2-xl,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.3342281879,0.25,195,196,-100,-100,-100,-100,28.82013423,-100
20230524_132130,tracking_shuffled_objects/task.json,745,gpt2-xl,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3342281879,0.25,199,197,-100,-100,-100,-100,28.82013423,-100
20230524_132250,tracking_shuffled_objects/task.json,745,gpt2-xl,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.04563758389,0.05126520669,0,34,0.3409395973,0.2960352717,105,111,35.09932886,0.8345849514
20230524_132312,tracking_shuffled_objects/task.json,745,gpt2-xl,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.04563758389,0.05110051631,0,34,0.3436241611,0.298917155,101,113,35.12348993,0.834712863
20230524_132335,tracking_shuffled_objects/task.json,745,gpt2-xl,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.04563758389,0.0512171382,0,34,0.3463087248,0.3023683819,101,114,35.15436242,0.8349063993
20230524_132357,tracking_shuffled_objects/task.json,745,gpt2-xl,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3033557047,0.2568291388,77,186,0.3248322148,0.269582839,153,154,30.68053691,0.8672744036
20230524_132457,tracking_shuffled_objects/task.json,745,gpt2-xl,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.3033557047,0.2566226432,81,188,0.3234899329,0.2684507257,156,155,30.7114094,0.8672056198
20230524_132557,tracking_shuffled_objects/task.json,745,gpt2-xl,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3046979866,0.2580478507,80,188,0.3248322148,0.2694974095,156,154,30.71409396,0.867215097
20230524_141655,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-xl-alpaca,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.255033557,0.2251056537,50,128,0.3140939597,0.2776659032,126,114,32.38926174,0.8157274127
20230524_141727,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-xl-alpaca,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.255033557,0.2248973204,50,128,0.3127516779,0.2762520391,128,112,32.40134228,0.8157016635
20230524_141758,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-xl-alpaca,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.255033557,0.2251587933,48,129,0.3127516779,0.2762308117,125,113,32.36241611,0.8157247901
20230524_141830,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-xl-alpaca,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.322147651,0.26831874,121,130,0.3248322148,0.2780950219,124,121,35.34362416,0.8245196939
20230524_142450,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-xl-alpaca,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.3234899329,0.2697493831,121,130,0.3248322148,0.2778712838,124,120,36.47114094,0.8238469958
20230524_143115,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-xl-alpaca,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3208053691,0.2668443592,121,128,0.3234899329,0.2765537277,125,120,36.15704698,0.8236768842
20230524_143734,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-xl-alpaca,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3315436242,0.2519597722,0,242,-100,-100,-100,-100,43.88993289,-100
20230524_143828,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-xl-alpaca,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.3302013423,0.2514485668,0,241,-100,-100,-100,-100,43.84295302,-100
20230524_143922,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-xl-alpaca,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3288590604,0.2509352833,0,240,-100,-100,-100,-100,43.8738255,-100
20230524_151014,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-xl-alpaca,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3382550336,0.3312922373,77,83,-100,-100,-100,-100,71.31275168,-100
20230524_152029,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-xl-alpaca,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.3382550336,0.3302560102,74,80,-100,-100,-100,-100,75.48993289,-100
20230524_153101,tracking_shuffled_objects/task.json,745,Rachneet/gpt2-xl-alpaca,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3288590604,0.3239820703,77,77,-100,-100,-100,-100,75.29530201,-100
20230524_160038,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.2630872483,0.2285292996,105,139,0.332885906,0.2885581761,137,135,34.60268456,0.8644013405
20230524_160108,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.2630872483,0.2286451146,106,140,0.3342281879,0.2899549601,142,139,34.63221477,0.8644041419
20230524_160138,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.2630872483,0.2283696849,105,139,0.3342281879,0.2893312881,138,135,34.60536913,0.8643636703
20230524_160208,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3342281879,0.3034184217,167,178,0.3382550336,0.3048627854,156,168,30.68993289,0.8680452704
20230524_160354,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.332885906,0.3025925096,169,176,0.3369127517,0.3040104188,158,166,30.72214765,0.867985189
20230524_160541,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3355704698,0.3047291359,168,178,0.3395973154,0.3061628602,157,168,30.7261745,0.8680409193
20230524_160728,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3302013423,0.3235869724,84,100,-100,-100,-100,-100,21.4885906,-100
20230524_160759,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.3248322148,0.3202293202,87,100,-100,-100,-100,-100,21.49127517,-100
20230524_160829,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3261744966,0.3213487031,87,100,-100,-100,-100,-100,21.51275168,-100
20230524_160900,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3355704698,0.3065563863,42,43,-100,-100,-100,-100,28.81879195,-100
20230524_161050,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.322147651,0.2969106101,50,41,-100,-100,-100,-100,28.83221477,-100
20230524_161240,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3261744966,0.296001798,44,38,-100,-100,-100,-100,28.82818792,-100
20230524_161430,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.1812080537,0.1694845118,28,129,0.3503355705,0.3171533152,157,164,33.56644295,0.8542952538
20230524_161458,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.1798657718,0.1662399966,28,128,0.3489932886,0.3167175112,161,165,33.48187919,0.8545114994
20230524_161525,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.1798657718,0.1656969265,28,128,0.3516778523,0.3178675075,160,164,33.7409396,0.8545715213
20230524_161553,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3167785235,0.2869943686,151,161,0.3275167785,0.3029297044,151,153,31.33288591,0.8683695197
20230524_161717,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.311409396,0.2822837664,156,162,0.3234899329,0.3001590798,156,156,31.35436242,0.8681351542
20230524_161842,tracking_shuffled_objects/task.json,745,EleutherAI/gpt-j-6b,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3127516779,0.2815938292,156,162,0.3248322148,0.299985857,156,156,31.31946309,0.868285656
20230524_163658,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.267114094,0.223671938,111,120,0.3100671141,0.2540792002,120,117,23.60536913,0.8662288189
20230524_163729,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.2684563758,0.2246326481,110,120,0.3100671141,0.2536080912,120,118,23.58791946,0.8661929369
20230524_163759,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.2711409396,0.226510224,109,121,0.3127516779,0.2557879514,119,119,23.57449664,0.8662858009
20230524_163829,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3342281879,0.2952821897,131,140,0.3369127517,0.297888056,127,136,30.30201342,0.8691787124
20230524_164016,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.3315436242,0.2919040181,133,139,0.3342281879,0.2948474446,129,136,30.3557047,0.8689450622
20230524_164204,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.332885906,0.2920909703,130,139,0.3355704698,0.2949311672,126,135,30.33825503,0.8689901829
20230524_164351,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.1973154362,0.2173245614,137,37,-100,-100,-100,-100,32.3852349,-100
20230524_164422,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.1932885906,0.2144183989,139,37,-100,-100,-100,-100,32.2295302,-100
20230524_164452,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.1959731544,0.2174625948,139,40,-100,-100,-100,-100,32.31677852,-100
20230524_164523,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3208053691,0.3435038731,187,174,-100,-100,-100,-100,32.55838926,-100
20230524_164713,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.3127516779,0.3350617491,185,166,-100,-100,-100,-100,32.55704698,-100
20230524_164904,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3154362416,0.3379404035,181,171,-100,-100,-100,-100,32.77449664,-100
20230524_165054,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.04161073826,0.04854053101,100,12,0.3288590604,0.2847580287,127,130,28.12214765,0.8458945751
20230524_165122,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.04161073826,0.04881556135,99,12,0.3234899329,0.2788345597,129,126,28.18120805,0.8457936645
20230524_165150,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,open,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.04026845638,0.04830758237,100,12,0.3248322148,0.281981802,131,128,28.21879195,0.8455222249
20230524_165217,tracking_shuffled_objects/task.json,745,togethercomputer/GPT-JT-6B-v1,open,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.322147651,0.2820293601,121,132,0.3288590604,0.2996558371,139,136,31.34630872,0.8678296208
