run_id,filename,number_of_data,model,prompt_type,number_of_shots,temperature,max_new_tokens,batch_size,pad_token,pad_token_id,eos_token_id,seed,device,exact_match_accuracy,exact_match_f1,exact_match_loss,exact_match_gain,bert_score_accuracy,bert_score_f1,bert_score_loss,bert_score_gain,edit_distance,single_bert_score
20230524_123238,tracking_shuffled_objects/task.json,745,gpt2,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.1651006711,0.1476898584,-100,-100,0.3288590604,0.2697347532,-100,-100,36.10469799,0.8593975306
20230524_123244,tracking_shuffled_objects/task.json,745,gpt2,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.1691275168,0.1495851901,-100,-100,0.3342281879,0.2716722432,-100,-100,36.0442953,0.8592757583
20230524_123249,tracking_shuffled_objects/task.json,745,gpt2,closed,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.1731543624,0.1568807034,-100,-100,0.3395973154,0.2803526396,-100,-100,36.27919463,0.8595642447
20230524_123255,tracking_shuffled_objects/task.json,745,gpt2,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.311409396,0.2752666151,-100,-100,0.3315436242,0.2901605624,-100,-100,30.04966443,0.8683786392
20230524_123310,tracking_shuffled_objects/task.json,745,gpt2,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.311409396,0.2741178966,-100,-100,0.3302013423,0.2873585115,-100,-100,30.05771812,0.8683282137
20230524_123324,tracking_shuffled_objects/task.json,745,gpt2,closed,5,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.3127516779,0.2760030611,-100,-100,0.3315436242,0.2898898011,-100,-100,30.03355705,0.8683449626
20230524_123338,tracking_shuffled_objects/task.json,745,gpt2,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.006711409396,0.009842519685,-100,-100,-100,-100,-100,-100,46.05234899,-100
20230524_123344,tracking_shuffled_objects/task.json,745,gpt2,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,105,NVIDIA A100-PCIE-40GB,0.005369127517,0.00790513834,-100,-100,-100,-100,-100,-100,46.01879195,-100
20230524_123350,tracking_shuffled_objects/task.json,745,gpt2,closed-adv,0,0.01,adaptive,16,<|endoftext|>,50256,50256,86379,NVIDIA A100-PCIE-40GB,0.008053691275,0.01176470588,-100,-100,-100,-100,-100,-100,45.9114094,-100
20230524_123356,tracking_shuffled_objects/task.json,745,gpt2,closed-adv,5,0.01,adaptive,16,<|endoftext|>,50256,50256,2266,NVIDIA A100-PCIE-40GB,0.3288590604,0.3178239268,-100,-100,-100,-100,-100,-100,28.82550336,-100
